Overall Rank,Team,Total Games,Wins,Losses,Winning Percentage,Pts For,Pts Against,Pts/Game,Pts Allowed/Game,Scoring Margin,Scoring Margin Per Game
1,Duke,31,27,4,87.10%,2431,2010,78.42,64.84,421,13.58
2,Indiana,31,26,5,83.87%,2504,1929,80.77,62.23,575,18.55
3,Louisville,31,26,5,83.87%,2280,1798,73.55,58.00,482,15.55
4,Florida,30,24,6,80.00%,2160,1597,72.00,53.23,563,18.77
5,Kansas,31,26,5,83.87%,2314,1900,74.65,61.29,414,13.35
6,Michigan St,30,23,7,76.67%,2043,1783,68.10,59.43,260,8.67
7,Syracuse,31,23,8,74.19%,2241,1848,72.29,59.61,393,12.68
8,Ohio St,30,23,7,76.67%,2105,1761,70.17,58.70,344,11.47
9,Michigan,30,24,6,80.00%,2238,1880,74.60,62.67,358,11.93
10,Miami FL,30,24,6,80.00%,2070,1796,69.00,59.87,274,9.13
11,Missouri,31,22,9,70.97%,2392,2070,77.16,66.77,322,10.39
12,Minnesota,31,20,11,64.52%,2141,1923,69.06,62.03,218,7.03
13,Wisconsin,31,21,10,67.74%,2049,1736,66.10,56.00,313,10.10
14,Arizona,30,24,6,80.00%,2202,1903,73.40,63.43,299,9.97
15,Georgetown,29,24,5,82.76%,1885,1627,65.00,56.10,258,8.90
16,New Mexico,31,26,5,83.87%,2111,1902,68.10,61.35,209,6.74
17,Pittsburgh,31,24,7,77.42%,2168,1712,69.94,55.23,456,14.71
18,Marquette,30,23,7,76.67%,2074,1872,69.13,62.40,202,6.73
19,Gonzaga,31,29,2,93.55%,2393,1853,77.19,59.77,540,17.42
20,VA Commonwealth,31,24,7,77.42%,2420,2000,78.06,64.52,420,13.55
21,Kentucky,31,21,10,67.74%,2291,2004,73.90,64.65,287,9.26
22,North Carolina,30,21,9,70.00%,2275,2056,75.83,68.53,219,7.30
23,Oklahoma St,30,23,7,76.67%,2185,1871,72.83,62.37,314,10.47
24,Cincinnati,31,21,10,67.74%,2095,1833,67.58,59.13,262,8.45
25,Kansas St,30,24,6,80.00%,2078,1850,69.27,61.67,228,7.60
26,Notre Dame,31,23,8,74.19%,2193,1951,70.74,62.94,242,7.81
27,Wichita St,34,26,8,76.47%,2361,2064,69.44,60.71,297,8.74
28,NC State,31,22,9,70.97%,2410,2182,77.74,70.39,228,7.35
29,UCLA,31,23,8,74.19%,2326,2127,75.03,68.61,199,6.42
30,Oklahoma,30,20,10,66.67%,2139,1979,71.30,65.97,160,5.33
31,Iowa St,31,21,10,67.74%,2482,2196,80.06,70.84,286,9.23
32,Memphis,31,27,4,87.10%,2322,1994,74.90,64.32,328,10.58
33,UNLV,31,23,8,74.19%,2211,1978,71.32,63.81,233,7.52
34,Colorado,30,20,10,66.67%,2038,1894,67.93,63.13,144,4.80
35,Illinois,31,20,11,64.52%,2150,2030,69.35,65.48,120,3.87
36,Baylor,30,17,13,56.67%,2202,2000,73.40,66.67,202,6.73
37,Colorado St,29,22,7,75.86%,2108,1834,72.69,63.24,274,9.45
38,Creighton,34,27,7,79.41%,2563,2145,75.38,63.09,418,12.29
39,San Diego St,28,19,9,67.86%,1925,1708,68.75,61.00,217,7.75
40,St Louis,30,24,6,80.00%,2066,1751,68.87,58.37,315,10.50
41,Stanford,31,18,13,58.06%,2197,2048,70.87,66.06,149,4.81
42,Connecticut,30,20,10,66.67%,2096,1962,69.87,65.40,134,4.47
43,Butler,30,23,7,76.67%,2060,1904,68.67,63.47,156,5.20
44,Arkansas,31,19,12,61.29%,2286,2128,73.74,68.65,158,5.10
45,Iowa,31,20,11,64.52%,2193,1957,70.74,63.13,236,7.61
46,Temple,31,23,8,74.19%,2254,2100,72.71,67.74,154,4.97
47,Belmont,30,24,6,80.00%,2307,1939,76.90,64.63,368,12.27
48,California,30,20,10,66.67%,2025,1917,67.50,63.90,108,3.60
49,Tennessee,30,19,11,63.33%,2005,1905,66.83,63.50,100,3.33
50,Virginia,31,21,10,67.74%,1993,1689,64.29,54.48,304,9.81
51,Villanova,30,18,12,60.00%,2037,1951,67.90,65.03,86,2.87
52,St Mary's CA,31,26,5,83.87%,2345,1961,75.65,63.26,384,12.39
53,Boise St,29,19,10,65.52%,2058,1922,70.97,66.28,136,4.69
54,Akron,30,23,7,76.67%,2167,1893,72.23,63.10,274,9.13
55,BYU,31,20,11,64.52%,2353,2152,75.90,69.42,201,6.48
56,Richmond,31,18,13,58.06%,2190,2066,70.65,66.65,124,4.00
57,La Salle,29,21,8,72.41%,2115,1910,72.93,65.86,205,7.07
58,Northern Iowa,31,17,14,54.84%,2011,1926,64.87,62.13,85,2.74
59,Alabama,30,19,11,63.33%,1894,1789,63.13,59.63,105,3.50
60,Detroit,30,18,12,60.00%,2310,2137,77.00,71.23,173,5.77
61,Providence,30,17,13,56.67%,2035,1932,67.83,64.40,103,3.43
62,Dayton,30,17,13,56.67%,2158,1994,71.93,66.47,164,5.47
63,Oregon,31,23,8,74.19%,2217,1972,71.52,63.61,245,7.90
64,Illinois St,33,18,15,54.55%,2460,2265,74.55,68.64,195,5.91
65,Texas A&M,31,17,14,54.84%,1982,1926,63.94,62.13,56,1.81
66,Maryland,31,20,11,64.52%,2188,1968,70.58,63.48,220,7.10
67,Southern Miss,30,21,9,70.00%,2145,1910,71.50,63.67,235,7.83
68,Xavier,30,17,13,56.67%,1964,1878,65.47,62.60,86,2.87
69,St Joseph's PA,29,17,12,58.62%,1952,1843,67.31,63.55,109,3.76
70,UTEP,30,17,13,56.67%,1895,1816,63.17,60.53,79,2.63
71,New Mexico St,30,20,10,66.67%,2041,1905,68.03,63.50,136,4.53
72,Arizona St,31,20,11,64.52%,2179,2038,70.29,65.74,141,4.55
73,Santa Clara,30,19,11,63.33%,2173,2027,72.43,67.57,146,4.87
74,Washington,31,17,14,54.84%,2089,2053,67.39,66.23,36,1.16
75,Wyoming,28,16,12,57.14%,1673,1632,59.75,58.29,41,1.46
76,UCF,29,18,11,62.07%,2039,1967,70.31,67.83,72,2.48
77,Massachusetts,29,19,10,65.52%,2132,2078,73.52,71.66,54,1.86
78,LSU,29,18,11,62.07%,2068,1995,71.31,68.79,73,2.52
79,Evansville,31,17,14,54.84%,2075,1997,66.94,64.42,78,2.52
80,Purdue,31,15,16,48.39%,2033,2002,65.58,64.58,31,1.00
81,Georgia Tech,30,16,14,53.33%,1929,1849,64.30,61.63,80,2.67
82,Washington St,31,13,18,41.94%,1999,1951,64.48,62.94,48,1.55
83,Utah St,29,20,9,68.97%,1970,1831,67.93,63.14,139,4.79
84,Air Force,27,15,12,55.56%,1874,1844,69.41,68.30,30,1.11
85,Oregon St,31,14,17,45.16%,2236,2174,72.13,70.13,62,2.00
86,Clemson,30,13,17,43.33%,1838,1791,61.27,59.70,47,1.57
87,Pacific,29,17,12,58.62%,1949,1904,67.21,65.66,45,1.55
88,Texas,30,15,15,50.00%,1965,1950,65.50,65.00,15,0.50
89,G Washington,29,13,16,44.83%,1916,1889,66.07,65.14,27,0.93
90,Canisius,31,18,13,58.06%,2263,2166,73.00,69.87,97,3.13
